num_topics = 1, coherence = -10.640923461890344, perplexity = 6.681504324473536
num_topics = 2, coherence = -10.564527218339581, perplexity = 7.59037413046145
num_topics = 3, coherence = -10.51994121341506, perplexity = 8.421586281561325
num_topics = 4, coherence = -10.498935784230891, perplexity = 9.163865911812838
num_topics = 5, coherence = -10.466505553089613, perplexity = 10.02873590975954
num_topics = 6, coherence = -10.427246025202495, perplexity = 10.706792157460887
num_topics = 7, coherence = -10.441670962642908, perplexity = 11.007513545383127
num_topics = 8, coherence = -10.431903836350067, perplexity = 11.393319548027026
num_topics = 9, coherence = -10.394974053783624, perplexity = 13.154796351781842
num_topics = 10, coherence = -10.398193229861565, perplexity = 13.453254319022557
num_topics = 11, coherence = -10.393056192535115, perplexity = 13.771475137747052
num_topics = 12, coherence = -10.386759634629335, perplexity = 14.178980599173155
num_topics = 13, coherence = -10.395241748738718, perplexity = 16.132824693572804
num_topics = 14, coherence = -10.37169280307114, perplexity = 15.985510758394476
num_topics = 15, coherence = -10.359536069747803, perplexity = 17.393018536046373
num_topics = 16, coherence = -10.321681724446446, perplexity = 17.38587002911352
num_topics = 17, coherence = -10.366428897706818, perplexity = 19.276859111846978
num_topics = 18, coherence = -10.373039938078676, perplexity = 21.76790238689796
num_topics = 19, coherence = -10.336482759968458, perplexity = 20.067649661316306
num_topics = 20, coherence = -10.318518756029693, perplexity = 21.38207737535069
num_topics = 21, coherence = -10.327235239832163, perplexity = 20.071246209045555
num_topics = 22, coherence = -10.31943440782947, perplexity = 22.655703600838493
num_topics = 23, coherence = -10.331632880528943, perplexity = 23.702798083831542
num_topics = 24, coherence = -10.324472772880926, perplexity = 22.8955315426637
num_topics = 25, coherence = -10.315689394859884, perplexity = 24.521226502218013
num_topics = 26, coherence = -10.31015666860863, perplexity = 25.65324775364025
num_topics = 27, coherence = -10.306817331712296, perplexity = 27.123582956852193
num_topics = 28, coherence = -10.297976846891006, perplexity = 25.2833756062596
num_topics = 29, coherence = -10.279231366719717, perplexity = 26.40726049105775
num_topics = 30, coherence = -10.266658546693755, perplexity = 26.52593230907953
